geneNames	GSM610737	GSM610738	GSM435828	GSM435833	GSM610718	GSM610690	GSM435823	GSM435824	GSM435825	GSM435826	GSM435827	GSM610691	GSM435821	GSM435822	GSM610695	GSM610696	GSM610717
ABCC8	1.673974222	1.013607042	1.663669065	2.133702185	1.543544332	2.839369026	0.73447868	3.382935045	2.515372924	2.514644874	2.223939847	0.893667361	1.006389887	0.835388586	1.090229441	0.454489281	1.588310634
ABCC9	0.362482227	1.289563668	0.556526107	2.113310436	0.054194956	0.562164766	0.680872399	0.549746973	0.817136283	0.66548389	0.739184348	0.835726667	1.055416698	0.478242182	1.203077279	0.725139115	0.626526947
ABCD1	52.98491035	51.67203976	68.60925135	44.65155781	90.59096487	15.14171185	26.49943303	41.36931605	40.99436866	32.72727374	36.03714801	58.57193982	48.52424517	48.82120334	42.9449763	61.48654731	38.04580848
ABCD2	0.286606084	0.206632958	0.200799517	0.501776191	0.164176269	0	1.16705044	0	0	0	0	0.44934392	0.24743018	0.394897402	0.181728645	0.192490894	0.141361245
ABCD3	13.11576668	-0.353040331	3.113157599	6.500264086	7.529230713	30.54412987	9.72531536	26.30136664	28.16481611	24.35115263	21.06745109	22.57440875	12.81583851	25.78661358	17.94197886	21.22580983	8.821989144
ABCD4	8.966497481	4.322016972	6.912508431	6.721451902	8.92747189	5.673615897	6.563328077	7.593222557	4.837005927	5.363759897	4.095440085	6.876670026	8.774793932	6.849050824	6.569479829	6.540841373	11.7639416
ABCE1	31.56301658	41.8067873	15.74916676	74.33963966	44.5220561	25.27788786	15.36537633	29.20412774	31.36114351	18.03427226	14.16789392	27.56689667	12.882082	31.38581805	20.82516052	22.11474297	13.04516401
ABCF1	18.11261173	21.60737902	19.13188231	27.78259758	17.18928309	11.11198746	3.73319627	12.07343255	16.24043077	12.48818435	9.282944957	13.41119418	11.17689842	15.90540808	12.59991961	12.8384827	8.693923655
ABCF2	10.02025655	12.53053912	11.28509723	21.59082203	12.36950789	8.962102177	3.163093489	7.365729385	8.918639128	9.503503767	7.54058078	7.507573807	7.586090916	8.279491133	6.174224766	6.347883689	6.464778204
ABCF3	17.93699964	6.419457972	9.006737579	9.288330806	8.970466333	20.33202087	19.66494587	19.61633537	22.00570596	29.40835718	23.87649601	19.07955267	22.85933338	18.69938304	15.60864775	18.75831945	26.06585709
ABCG1	1.704034019	1.855324816	1.556384102	2.437237731	1.827078892	2.325920422	2.263340899	2.667342967	2.586356705	2.977666236	2.028941168	2.15088414	2.735174726	2.006924608	2.365951063	2.216685308	1.889356942
ABCG2	7.795812365	6.294775604	1.64775619	4.512663852	3.088338516	14.96751039	3.366818702	14.22197453	11.16364088	12.49303283	4.966997646	13.14768952	11.08816375	6.233314374	20.40414315	13.21573734	7.226510672
ABCG4	5.158687158	3.93064713	6.949901641	5.945949061	4.111302922	2.97314778	3.087019168	3.932588289	3.766219509	4.612586441	5.121466194	2.197977728	1.919985522	2.292622308	2.029712508	2.328909465	3.232547522
ABCG5	8.297975907	4.921356516	3.606037826	4.528353416	3.907014494	6.775755354	2.287454253	5.084825627	7.436982249	4.650975847	5.719346389	7.618296086	7.763541054	5.74084987	9.567669717	9.132377603	6.680558874
ABCG8	15.14211558	7.015236337	6.617370166	10.26343857	6.017116839	21.97442149	11.16956027	12.27627776	19.21063631	23.20753137	21.82196774	17.81969186	43.66240893	24.41812363	25.34298239	29.95465561	26.592361
